과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
2.3964,2017-01,소매,전남 진도군 진도읍_2,30,가전제품소매
0.4050,2017-01,소매,오산시청,1460,가전제품소매
0.4821,2017-01,소매,부산 북구 덕천역_1,490,가전제품소매
0.6428,2017-01,소매,전남 함평군 함평읍_1,217,가전제품소매
2.1076,2017-01,소매,순천역,168,가전제품소매
1.4900,2017-01,소매,서울 관악구 사당역,1792,가전제품소매
0.1697,2017-01,소매,제주 제주시 연동_4,9,가전제품소매
0.6533,2017-01,소매,서울 강남구 논현역_1,1967,가전제품소매
0.3507,2017-01,소매,서울 동대문구 신설동역_2,2242,가전제품소매
0.1231,2017-01,소매,서울 중구 충무로역_2,2194,가전제품소매
1.0732,2017-01,소매,전북 군산시 중앙동_1,1067,가전제품소매
0.4847,2017-01,소매,구미역_2,1147,가전제품소매
1.7131,2017-01,소매,망포역_1,1472,가전제품소매
0.9525,2017-01,소매,경기 부천시 역곡역_1,1837,가전제품소매
0.3145,2017-01,소매,인천 남동구 구월4동_1,1735,가전제품소매
2.0537,2017-01,소매,부산 연제구 연산동역_4,439,가전제품소매
0.7294,2017-01,소매,평촌먹거리촌,1632,가전제품소매
0.3968,2017-01,소매,김천역,1145,가전제품소매
0.7397,2017-01,소매,양재역_3,1851,가전제품소매
0.5253,2017-01,소매,해남군청,37,가전제품소매
0.4473,2017-01,소매,전남 순천시 왕조1동_5,195,가전제품소매
0.7199,2017-01,소매,부산대역,542,가전제품소매
0.8404,2017-01,소매,서정리역,1436,가전제품소매
0.3905,2017-01,소매,경남 창녕군 창녕읍_1,668,가전제품소매
1.0870,2017-01,소매,서울 서대문구 서대문역,2208,가전제품소매
0.1530,2017-01,소매,선릉역_2,1932,가전제품소매
0.9212,2017-01,소매,정왕동 옥구상가,1605,가전제품소매
2.5142,2017-01,소매,향남신도시_1,1451,가전제품소매
1.3754,2017-01,소매,대구 동구 효목2동_1,954,가전제품소매
0.6136,2017-01,소매,서울 서대문구 이대역,2169,가전제품소매
0.4599,2017-01,소매,안동시청_1,1277,가전제품소매
2.0282,2017-01,소매,울산 남구 무거동_1,689,가전제품소매
0.2987,2017-01,소매,역삼역_1,1882,가전제품소매
1.0730,2017-01,소매,전북 익산시 신동_1,1046,가전제품소매
1.7656,2017-01,소매,충남 천안시 성환읍_2,1396,가전제품소매
0.3960,2017-01,소매,모란역_2,1697,가전제품소매
1.1034,2017-01,소매,논산시외터미널_1,1180,가전제품소매
0.3828,2017-01,소매,증평군청,1333,가전제품소매
0.2844,2017-01,소매,전남 광양시 중마동_14,161,가전제품소매
0.7872,2017-01,소매,홍익대학교 주변,2165,가전제품소매
1.4138,2017-01,소매,전남 완도군 완도읍_3,28,가전제품소매
1.6242,2017-01,소매,경북 구미시 선산읍_1,1183,가전제품소매
1.2460,2017-01,소매,인천 서구 석남2동_2,1931,가전제품소매
1.4007,2017-01,소매,서울 은평구 불광역_3,2284,가전제품소매
1.6274,2017-01,소매,화천공용버스터미널,2423,가전제품소매
0.7055,2017-01,소매,제주 제주시 한림읍_1,6,가전제품소매
2.2876,2017-01,소매,서울 강북구 수유역_2,2310,가전제품소매
1.2962,2017-01,소매,경북 구미시 양포동_4,1159,가전제품소매
0.3350,2017-01,소매,부산 사하구 장림2동_1,218,가전제품소매
0.2292,2017-01,소매,양재동 꽃시장,1760,가전제품소매
0.4457,2017-01,소매,용산 전자상가_1,2070,가전제품소매
0.7794,2017-01,소매,이천종합터미널_4,1523,가전제품소매
0.6886,2017-01,소매,경기 성남시 미금역_1,1593,가전제품소매
1.9532,2017-01,소매,평택역_2,1428,가전제품소매
0.5635,2017-01,소매,전남 목포시 하당동_4,125,가전제품소매
0.8012,2017-01,소매,부산 북구 화명역_1,544,가전제품소매
0.7996,2017-01,소매,정왕시장,1597,가전제품소매
1.0979,2017-01,소매,부산 북구 화명역_1,544,가전제품소매
0.9049,2017-01,소매,서울 강북구 수유역_3,2313,가전제품소매
0.3186,2017-01,소매,용문역,1808,가전제품소매
0.3951,2017-01,소매,광주 서구 금호1동_1,292,가전제품소매
0.6741,2017-01,소매,팔달문로터리_2,1525,가전제품소매
0.3549,2017-01,소매,칠성시장역,956,가전제품소매
0.5079,2017-01,소매,전북 남원시 도통동_1,634,가전제품소매
0.7377,2017-01,소매,전남 화순군 화순읍_2,213,가전제품소매
1.5064,2017-01,소매,충북 청주시 복대1동_1,1311,가전제품소매
1.0445,2017-01,소매,탄현역_2,2358,가전제품소매
0.2630,2017-01,소매,충북 청주시 가경동_3,1295,가전제품소매
1.0919,2017-01,소매,명륜역,501,가전제품소매
0.4115,2017-01,소매,울산 남구 삼산동_18,695,가전제품소매
0.1559,2017-01,소매,천안종합버스터미널_2,1363,가전제품소매
0.2360,2017-01,소매,구로디지탈1단지,1844,가전제품소매
3.4586,2017-01,소매,울산 남구 신정3동_2,692,가전제품소매
1.4924,2017-01,소매,충남 태안군 태안읍_1,1327,가전제품소매
0.3792,2017-01,소매,순천역,168,가전제품소매
1.0254,2017-01,소매,전남 광양시 중마동_5,177,가전제품소매
0.7843,2017-01,소매,전북 전주시 송천2동_1,938,가전제품소매
